Nombre;Concentración;Forma Farmacéutica;Cantidad;Fecha Vencimiento;Lote;Registro Sanitario;INVIMA/Vigencia
ADRENALINA;1 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
AGUA DESTILADA;10 CC;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
AMINOFILINA;240 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
AMIODARONA;150 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
AMPICILINA;1 G;VIAL;10;01/01/2030;LOT-001;INVIMA-2024-002;VIGENTE
AMPICILINA;500 MG;VIAL;10;01/01/2030;LOT-001;INVIMA-2024-002;VIGENTE
ATROPINA SULFATO;1 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
BECLOMETASONA;50 MCG;INHALADOR;1;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
BICARBONATO DE SODIO;10 MEQ;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
CALCIO GLUCONATO;10%;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
CLORURO DE POTASIO;2 MEQ/ML;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
CLORURO DE SODIO 0.9%;100 ML;FCO/BOLSA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
CLORURO DE SODIO 0.9%;250 ML;FCO/BOLSA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
CLORURO DE SODIO 0.9%;500 ML;FCO/BOLSA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
DEXAMETASONA;4 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
DIAZEPAM;10 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
DIPIRONA;1 G;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
DOBUTAMINA;250 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
DOPAMINA;200 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
ETOMIDATO;20 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
FENITOINA;50 MG/ML;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
FENOBARBITAL;40 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
FUROSEMIDA;20 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
HALOPERIDOL;5 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
HEPARINA SODICA;25000 UI;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
HIDROCORTISONA;100 MG;VIAL;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
HIDROCORTISONA;500 MG;VIAL;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
ISOPROTERENOL;0.2 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
